Gene.stable.ID,Gene.name
ENSMUSG00000075137,OLFR1163
ENSMUSG00000066269,OLFR575
ENSMUSG00000103051,GM7871
ENSMUSG00000057346,APOL9A
ENSMUSG00000111907,GM48202
ENSMUSG00000002477,SNRPD1
ENSMUSG00000075136,OLFR1164
ENSMUSG00000094926,GM16533
ENSMUSG00000050530,FAM171A1
ENSMUSG00000015355,CD48
ENSMUSG00000023993,TREML1
ENSMUSG00000043354,OLFR577
ENSMUSG00000032735,ABLIM3
ENSMUSG00000081691,GM11965
ENSMUSG00000081021,GM11964
ENSMUSG00000104386,GM37030
ENSMUSG00000073962,OLFR576
ENSMUSG00000086015,4833417C18RIK
ENSMUSG00000029660,TEX26
ENSMUSG00000110410,4933421D24RIK
ENSMUSG00000046070,IGFALS
ENSMUSG00000085578,GM11527
ENSMUSG00000110258,GM45406
ENSMUSG00000029344,TPST2
ENSMUSG00000041120,NBL1
ENSMUSG00000086255,GM11534
ENSMUSG00000103883,GM37010
ENSMUSG00000013418,B4GALNT2
ENSMUSG00000030173,KLRA5
ENSMUSG00000021541,TRPC7
ENSMUSG00000020257,WDR82
ENSMUSG00000085079,KHDC1B
ENSMUSG00000108575,GM35665
ENSMUSG00000085546,GM14252
ENSMUSG00000097888,GM26682
ENSMUSG00000085679,GM16328
ENSMUSG00000082321,GM14253
ENSMUSG00000081751,GM14251
ENSMUSG00000046229,SCAND1
ENSMUSG00000045792,OLFR578
ENSMUSG00000037722,GNPNAT1
ENSMUSG00000059409,PPP2R5D
ENSMUSG00000013701,TIMM23
ENSMUSG00000112817,GM48122
ENSMUSG00000032224,FAM81A
ENSMUSG00000116384,GM35912
ENSMUSG00000110033,AC161520.1
ENSMUSG00000116247,VMN1R-PS137
ENSMUSG00000053863,MEPE
ENSMUSG00000018899,IRF1
ENSMUSG00000018412,KANSL1
ENSMUSG00000079009,GM14139
ENSMUSG00000085693,GM13371
ENSMUSG00000083120,GM15854
ENSMUSG00000103044,GM37307
ENSMUSG00000104251,GM18036
ENSMUSG00000026656,FCGR2B
ENSMUSG00000058838,RPS27A-PS2
ENSMUSG00000020698,CCT6B
ENSMUSG00000032258,LCA5
ENSMUSG00000047261,GAP43
ENSMUSG00000061769,KLRA6
ENSMUSG00000046590,OLFR1165-PS
ENSMUSG00000060336,ZFP937
ENSMUSG00000111664,GM48865
ENSMUSG00000063450,SYNE2
ENSMUSG00000000295,HDDC2
ENSMUSG00000107164,4933425D22RIK
ENSMUSG00000073490,IFI207
ENSMUSG00000110694,GM45782
ENSMUSG00000079008,GM14124
ENSMUSG00000069925,4932416K20RIK
ENSMUSG00000030345,DYRK4
ENSMUSG00000084320,GM14125
ENSMUSG00000063576,KLHDC3
ENSMUSG00000033854,KCNK10
ENSMUSG00000066652,LEFTY2
ENSMUSG00000086425,F730016J06RIK
ENSMUSG00000087553,5730412P04RIK
ENSMUSG00000079563,PGLYRP2
ENSMUSG00000112100,GM9102
ENSMUSG00000094326,GM10045
ENSMUSG00000105483,4930553I04RIK
ENSMUSG00000059900,TMEM40
ENSMUSG00000029423,PIWIL1
ENSMUSG00000073489,IFI204
ENSMUSG00000028558,CALR4
ENSMUSG00000052712,BC004004
ENSMUSG00000116781,GM49712
ENSMUSG00000116778,GM49713
ENSMUSG00000084217,GM15488
ENSMUSG00000071203,NAIP5
ENSMUSG00000022770,DLG1
ENSMUSG00000028675,PNRC2
ENSMUSG00000063364,3300002I08RIK
ENSMUSG00000022360,ATAD2
ENSMUSG00000095315,GM10130
ENSMUSG00000083077,GM14126
ENSMUSG00000083964,GM14122
ENSMUSG00000085955,GM12356
ENSMUSG00000017221,PSMD3
ENSMUSG00000068130,ZFP442
ENSMUSG00000024077,STRN
ENSMUSG00000033819,PPP1R16A
ENSMUSG00000111596,GM8058
ENSMUSG00000086480,GM15287
ENSMUSG00000113613,GM40893
ENSMUSG00000026520,PYCR2
ENSMUSG00000083430,GM13006
ENSMUSG00000113927,5330409N07RIK
ENSMUSG00000107964,4930447C11RIK
ENSMUSG00000062585,CNR2
ENSMUSG00000026315,SERPINB8
ENSMUSG00000060534,DCC
ENSMUSG00000099718,GM2087
ENSMUSG00000116441,GM49554
ENSMUSG00000050608,MICOS10
ENSMUSG00000002768,MEA1
ENSMUSG00000030292,SMCO2
